Date,Open,High,Low,Close,Volume
01/03/2024,"0.5800","0.5900","0.4950","0.5206","3,797,090"
01/02/2024,"0.5000","0.6000","0.5000","0.5640","7,090,283"
12/29/2023,"0.5159","0.5274","0.5000","0.5100","1,524,270"
12/28/2023,"0.5008","0.5277","0.5000","0.5199","1,636,406"
12/27/2023,"0.5200","0.5200","0.4900","0.5129","3,089,666"
12/26/2023,"0.4450","0.5282","0.4351","0.5218","5,847,874"
12/22/2023,"0.4092","0.4450","0.4021","0.4440","3,787,492"
12/21/2023,"0.3900","0.4100","0.3820","0.4100","2,238,175"
12/20/2023,"0.3855","0.3952","0.3815","0.3862","1,610,168"
12/19/2023,"0.3800","0.3886","0.3715","0.3857","1,736,956"
12/18/2023,"0.4005","0.4005","0.3780","0.3780","1,470,692"
12/15/2023,"0.3851","0.4099","0.3760","0.3889","5,768,198"
12/14/2023,"0.3800","0.3900","0.3600","0.3836","1,819,918"
12/13/2023,"0.3576","0.3794","0.3576","0.3779","1,450,405"
12/12/2023,"0.3650","0.3700","0.3550","0.3637","1,312,662"
12/11/2023,"0.3800","0.3800","0.3680","0.3705","1,806,084"
12/08/2023,"0.3760","0.3850","0.3702","0.3800","1,743,331"
12/07/2023,"0.3795","0.3800","0.3750","0.3780","1,174,095"
12/06/2023,"0.3842","0.3876","0.3750","0.3795","2,222,721"
12/05/2023,"0.4100","0.4190","0.3860","0.3952","2,019,638"
12/04/2023,"0.3830","0.4090","0.3810","0.4050","1,439,591"
